id,label,type,icon,donut,planet,category,description,published
n18,Gladia Delmarre,Person,Person,100,Solaria,Spacer,"A Solarian who left her isolated world for Aurora. She had a close relationship with Elijah Baley and later with R. Daneel Olivaw and R. Giskard. Appears in: The Naked Sun, The Robots of Dawn, Robots and Empire.",
n19,Golan Trevize,Person,Person,100,Terminus,Councilman,"A Foundation councilman tasked with finding the Second Foundation, who ultimately had to choose the future of the galaxy: First Foundation, Second Foundation, or Galaxia. Appears in: Foundation's Edge, Foundation and Earth.",
n20,Janov Pelorat,Person,Person,100,Terminus,Historian,"A historian who spent his life studying myths of humanity's origin planet, Earth. He traveled with Golan Trevize and became romantically involved with Bliss from Gaia. Appears in: Foundation's Edge, Foundation and Earth.",
n21,Gaal Dornick,Person,Person,100,Synnax,Mathematician,"Hari Seldon's biographer and a brilliant mathematician who arrived on Trantor just before Seldon's trial. Appears in: Foundation.",
n22,Earth,Planet,Public,100,None,Origin World,"The ancestral home of all humanity. Long forgotten by the Galactic era, it became radioactive and uninhabitable, leading to the early Spacer and Settler migrations. Appears in: Robot series, Empire series, Foundation and Earth.",
n23,Preem Palver,Person,Person,100,Trantor,First Speaker,"The brilliant First Speaker of the Second Foundation who masterminded the deception that convinced the First Foundation the Second Foundation had been destroyed on Terminus. Appears in: Second Foundation.",
n24,Arcadia Darell,Person,Person,100,Terminus,Writer,"The granddaughter of Bayta Darell. At age 14, she inadvertently discovered the location of the Second Foundation but managed to transmit the information safely. Appears in: Second Foundation.",
n25,Bel Riose,Person,Person,100,Trantor,General,"The last strong general of the Galactic Empire. Modeled after Belisarius, he nearly defeated the Foundation but was recalled and executed by a paranoid Emperor. Appears in: Foundation and Empire.",
n26,Cleon I,Person,Person,100,Trantor,Emperor,"The Emperor of the Galaxy during Hari Seldon's early years. He supported Seldon's work under the guidance of his First Minister, Eto Demerzel. Appears in: Prelude to Foundation, Forward the Foundation.",
n27,Eto Demerzel,Person,Person,100,Trantor,First Minister,"The First Minister to Emperor Cleon I. In reality, an alias for the robot R. Daneel Olivaw, manipulating politics to protect humanity. Appears in: Prelude to Foundation.",
n28,Dors Venabili,Robot,Android,100,Trantor,Historian,"A historian at Streeling University on Trantor and the wife of Hari Seldon. She was secretly a humaniform robot assigned by Daneel to protect Seldon. Appears in: Prelude to Foundation, Forward the Foundation.",
n29,Kalgan,Planet,Public,100,None,Resort World,"A resort planet that was conquered by the Mule without a shot fired. It became the capital of his Union of Worlds. Appears in: Foundation and Empire, Second Foundation.",
n30,Encyclopedia Galactica,Item,AutoStories,100,Terminus,Knowledge,"A compendium of all human knowledge, supposedly the purpose of the First Foundation. It was actually a ruse by Seldon to establish a colony of scientists on Terminus. Appears in: Foundation.",
n31,Siwenna,Planet,Public,100,None,Imperial Province,"An outer province of the Empire that suffered heavily during the Empire's decline. Visited by Hober Mallow and later the staging ground for Bel Riose. Appears in: Foundation, Foundation and Empire.",
n32,Anacreon,Planet,Public,100,None,Four Kingdoms,"One of the four planetary systems surrounding Terminus that broke away from the Empire. The first major threat to the fledgling Foundation. Appears in: Foundation.",
n33,Smyrno,Planet,Public,100,None,Four Kingdoms,"Another of the Four Kingdoms. Hober Mallow was originally from Smyrno. Appears in: Foundation.",
n34,Psychoprobe,Item,AutoStories,100,None,Technology,"A device used to read and manipulate thoughts or memories. Often used aggressively, causing severe mental damage if resisted. Appears in: Foundation and Empire, Second Foundation.",
n35,Wanda Seldon,Person,Person,100,Trantor,Mentalic,"The granddaughter of Hari Seldon and the founder of the Second Foundation. She possessed natural mentalic abilities essential for guiding Psychohistory. Appears in: Forward the Foundation.",
n36,R. Giskard Reventlov,Robot,Android,100,Aurora,Telepathic Robot,"A robot belonging to Han Fastolfe with the secret ability to read and influence human emotions. He helped formulate the Zeroth Law before his positronic brain froze. Appears in: The Robots of Dawn, Robots and Empire.",
n37,Bliss,Person,Person,100,Gaia,Gaian,"Blissenobiarella, a representative of the planetary consciousness Gaia. She travels with Trevize and Pelorat to find Earth. Appears in: Foundation's Edge, Foundation and Earth.",
n38,Han Fastolfe,Person,Person,100,Aurora,Roboticist,"The most brilliant roboticist on Aurora, creator of R. Daneel Olivaw. He advocated for Earthmen to expand into the galaxy without robotic assistance. Appears in: The Caves of Steel, The Robots of Dawn.",
n39,Yugo Amaryl,Person,Person,100,Trantor,Mathematician,"A heatsink worker from Dahl who became Hari Seldon's closest friend and co-developer of the Psychohistorical equations. Appears in: Prelude to Foundation, Forward the Foundation.",
n40,Raych Seldon,Person,Person,100,Trantor,Security,"An orphaned boy from the slums of Dahl adopted by Hari and Dors Seldon. He served as Seldon's loyal protector and agent. Appears in: Prelude to Foundation, Forward the Foundation.",
b1,The Caves of Steel,Book,MenuBook,100,None,Novel,"The first Robot mystery novel. Introducing Elijah Baley and R. Daneel Olivaw. They investigate a murder on Earth that threatens Earth-Spacer relations.",1954
b2,The Naked Sun,Book,MenuBook,100,None,Novel,"The second Robot mystery. Baley and Daneel travel to Solaria to solve a murder where the suspect and victim never physically met.",1957
b3,The Robots of Dawn,Book,MenuBook,100,None,Novel,"The third Robot mystery. Baley travels to Aurora to investigate the 'robiticide' of a humaniform robot, meeting Han Fastolfe and Gladia.",1983
b4,Robots and Empire,Book,MenuBook,100,None,Novel,"The final Robot novel. Set decades after Baley's death, Gladia and Daneel face a plot to destroy Earth. Giskard and Daneel develop the Zeroth Law.",1985
b5,The Stars Like Dust,Book,MenuBook,100,None,Novel,"The first Empire novel. A young man searches for his father's murderer and a secret document that could free the galaxy from Tyrannian rule.",1951
b6,The Currents of Space,Book,MenuBook,100,None,Novel,"The second Empire novel. A 'spatio-analyst' with amnesia holds a secret that could save the planet Florina from destruction.",1952
b7,Pebble in the Sky,Book,MenuBook,100,None,Novel,"The third Empire novel. A man from 1949 is transported to the future where Earth is a radioactive backwater planning a rebellion against the Empire.",1950
b8,Prelude to Foundation,Book,MenuBook,100,None,Novel,"The first prequel. Hari Seldon arrives on Trantor and begins 'The Flight' to escape Cleon I while discovering the seeds of Psychohistory.",1988
b9,Forward the Foundation,Book,MenuBook,100,None,Novel,"The second prequel. Follows Seldon's later years as he struggles to complete Psychohistory while his family and the Empire crumble around him.",1993
b10,Foundation,Book,MenuBook,100,None,Novel,"The first original novel. Seldon's trial, the establishment of the Foundation on Terminus, and the first Seldon Crises managed by Salvor Hardin.",1951
b11,Foundation and Empire,Book,MenuBook,100,None,Novel,"The second original novel. The Foundation faces the last great Imperial General, Bel Riose, and the unexpected threat of the mutant Mule.",1952
b12,Second Foundation,Book,MenuBook,100,None,Novel,"The third original novel. The Mule searches for the Second Foundation, and Arcadia Darell discovers its true location.",1953
b13,Foundation's Edge,Book,MenuBook,100,None,Novel,"Set 500 years after Seldon. Golan Trevize searches for the Second Foundation and finds Gaia, choosing the path of Galaxia.",1982
b14,Foundation and Earth,Book,MenuBook,100,None,Novel,"The final novel chronologically. Trevize, Pelorat, and Bliss search for Earth to justify the choice of Galaxia, meeting R. Daneel Olivaw.",1986
